Item,Price,img_route
Mamma Chia - Chia Squeeze - Wild Raspberry,3,../../assets/images/items/Bowow-Builder-Images/Mamma Chia - Chia Squeeze - Wild Raspberry.webp
Mamma Chia - Chia Squeeze - Blackberry Bliss,3,../../assets/images/items/Bowow-Builder-Images/Mamma Chia - Chia Squeeze - Blackberry Bliss.webp
Noka - Superfood Smoothie - Cherry Acai,3.9,../../assets/images/items/Bowow-Builder-Images/Noka - Superfood Smoothie - Cherry Acai.webp
Noka - Superfood Smoothie - Mango Coconut,3.9,../../assets/images/items/Bowow-Builder-Images/Noka - Superfood Smoothie - Mango Coconut.webp
That's It - Fruit Bar - Apple + Blueberry,2.25,../../assets/images/items/Bowow-Builder-Images/That's It - Fruit Bar - Apple + Blueberry.webp
That's It - Fruit Bar - Apple + Mango,2.25,../../assets/images/items/Bowow-Builder-Images/That's It - Fruit Bar - Apple + Mango.webp
Yale - Oranges,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Oranges.webp
Yale - Apple,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Apple.webp
Yale - Banana,-1,../../assets/images/items/Bowow-Builder-Images/Yale - Banana.webp
Oh snap - Hottie Bites - Spicy Pickles,2.50,../../assets/images/items/Bowow-Builder-Images/Oh snap - Hottie Bites - Spicy Pickles.webp
Oh snap - Dilly Bites - Spicy Pickles,2.50,../../assets/images/items/Bowow-Builder-Images/Oh snap - Dilly Bites - Spicy Pickles.webp
Cedar Snack Pack - dark chocolate hommus with pretzels,4.20,../../assets/images/items/Bowow-Builder-Images/Cedar Snack Pack - dark chocolate hommus with pretzels.webp
Cedar Snack Pack - Garlic Hommus and Chips,4.20,../../assets/images/items/Bowow-Builder-Images/Cedar Snack Pack - Garlic Hommus and Chips.webp
Cedar Snack Pack - Original Hommus and Chips,4.20,../../assets/images/items/Bowow-Builder-Images/Cedar Snack Pack - Original Hommus and Chips.webp
Esti - tzatziki and pita chips,5.00,../../assets/images/items/Bowow-Builder-Images/Esti - tzatziki and pita chips.webp
Esti - Baba Ghanoush and pita chips,5.00,../../assets/images/items/Bowow-Builder-Images/Esti - Baba Ghanoush and pita chips.webp
Esti - Eggplant Hummus,5.55,../../assets/images/items/Bowow-Builder-Images/Esti - Eggplant Hummus.webp
Rosell - String Cheese,1.00,../../assets/images/items/Bowow-Builder-Images/Rosell - String Cheese.webp
Cabot - Cheese,1.00,../../assets/images/items/Bowow-Builder-Images/Cabot - Cheese.webp
Organic Valley - String Cheese,1.00,../../assets/images/items/Bowow-Builder-Images/Organic Valley - String Cheese.webp
Fillo's - Walking Tamales - bean salsa habanero,-1,../../assets/images/items/Bowow-Builder-Images/Fillo's - Walking Tamales - bean salsa habanero.webp
Fillo's - Walking Tamales - bean salsa verde,-1,../../assets/images/items/Bowow-Builder-Images/Fillo's - Walking Tamales - bean salsa verde.webp
Amy's - Snacks - Cheese Pizza,7,../../assets/images/items/Bowow-Builder-Images/Amy's - Snacks - Cheese Pizza.webp
Amy's - Mac & Cheese,7,../../assets/images/items/Bowow-Builder-Images/Amy's - Mac & Cheese.webp
Amy's - Bowls - Tortellini,9,../../assets/images/items/Bowow-Builder-Images/Amy's - Bowls - Tortellini.webp
Amy's - Bowls - Country Cheddar,9,../../assets/images/items/Bowow-Builder-Images/Amy's - Bowls - Country Cheddar.webp
Amy's - Bowls - 3 Chese & Kale Bake,9,../../assets/images/items/Bowow-Builder-Images/Amy's - Bowls - 3 Chese & Kale Bake.webp
Amy's - Bowls - Mushroom Risotto,9,../../assets/images/items/Bowow-Builder-Images/Amy's - Bowls - Mushroom Risotto.webp
Amy's - Chese Enchilada,8.7,../../assets/images/items/Bowow-Builder-Images/Amy's - Chese Enchilada.webp
Amy's - Burrito,6,../../assets/images/items/Bowow-Builder-Images/Amy's - Burrito.webp
Evol - Teriyaki Chicken,6.7,../../assets/images/items/Bowow-Builder-Images/Evol - Teriyaki Chicken.webp
Amy's - Cheese Enchilada,7.5,../../assets/images/items/Bowow-Builder-Images/Amy's - Cheese Enchilada.webp
Tropicana - Orange Juice Original (No Pulp),3,../../assets/images/items/Bowow-Builder-Images/Tropicana - Orange Juice Original (No Pulp).webp
Tropicana - Cranberry Cocktail,2.25,../../assets/images/items/Bowow-Builder-Images/Tropicana - Cranberry Cocktail.webp
Tropicana - Apple Juice,2.25,../../assets/images/items/Bowow-Builder-Images/Tropicana - Apple Juice.webp
Naked - Naked Juice Blue Machine,5,../../assets/images/items/Bowow-Builder-Images/Naked - Naked Juice Blue Machine.webp
Naked - Naked Juice Green Machine,5,../../assets/images/items/Bowow-Builder-Images/Naked - Naked Juice Green Machine.webp
Naked - Naked Juice Strawberry Banana,5,../../assets/images/items/Bowow-Builder-Images/Naked - Naked Juice Strawberry Banana.webp
Naked - Naked Juice Pina Colada,5,../../assets/images/items/Bowow-Builder-Images/Naked - Naked Juice Pina Colada.webp
Pure Leaf - Pure Leaf Green Tea Unsweetened,3.25,../../assets/images/items/Bowow-Builder-Images/Pure Leaf - Pure Leaf Green Tea Unsweetened.webp
Pure Leaf - Pure Leaf Sweet Tea,3.25,../../assets/images/items/Bowow-Builder-Images/Pure Leaf - Pure Leaf Sweet Tea.webp
Pure Leaf - Pure Leaf Raspberry,3.25,../../assets/images/items/Bowow-Builder-Images/Pure Leaf - Pure Leaf Raspberry.webp
Pure Leaf - Pure Leaf Lemon,3.25,../../assets/images/items/Bowow-Builder-Images/Pure Leaf - Pure Leaf Lemon.webp
Pure Leaf - Pure Leaf Peach,3.25,../../assets/images/items/Bowow-Builder-Images/Pure Leaf - Pure Leaf Peach.webp
Vitamin Water - Zero Sugar Squeezed Lemonade,3.1,../../assets/images/items/Bowow-Builder-Images/Vitamin Water - Zero Sugar Squeezed Lemonade.webp
Vitamin Water - Focus Kiwi Strawberry,3.1,../../assets/images/items/Bowow-Builder-Images/Vitamin Water - Focus Kiwi Strawberry.webp
Vitamin Water - Energy Tropical Citrus,3.1,../../assets/images/items/Bowow-Builder-Images/Vitamin Water - Energy Tropical Citrus.webp
Vitamin Water - Essential Orange-Orange,3.1,../../assets/images/items/Bowow-Builder-Images/Vitamin Water - Essential Orange-Orange.webp
Vitamin Water - Refresh Tropical Mango,3.1,../../assets/images/items/Bowow-Builder-Images/Vitamin Water - Refresh Tropical Mango.webp
Vitamin Water - Power-c Dragonfruit,3.1,../../assets/images/items/Bowow-Builder-Images/Vitamin Water - Power-c Dragonfruit.webp
Vitamin Water - XXX Açai Blueberry Pomegranate,3.1,../../assets/images/items/Bowow-Builder-Images/Vitamin Water - XXX Açai Blueberry Pomegranate.webp
Coca Cola - Orignal Taste,4,../../assets/images/items/Bowow-Builder-Images/Coca Cola - Orignal Taste.webp
Coca Cola - Diet Coke,4,../../assets/images/items/Bowow-Builder-Images/Coca Cola - Diet Coke.webp
Coca Cola - Cherry Coke,4,../../assets/images/items/Bowow-Builder-Images/Coca Cola - Cherry Coke.webp
Canada Dry - Gingerale,4,../../assets/images/items/Bowow-Builder-Images/Canada Dry - Gingerale.webp
Fairlife - Lactose-Free 2% Milk,3.1,../../assets/images/items/Bowow-Builder-Images/Fairlife - Lactose-Free 2% Milk.webp
Muscle Milk - Intense Vanilla Protein Shake,-1,../../assets/images/items/Bowow-Builder-Images/Muscle Milk - Intense Vanilla Protein Shake.webp
Muscle Milk - Strawberries 'N Creme Protein Shake,-1,../../assets/images/items/Bowow-Builder-Images/Muscle Milk - Strawberries 'N Creme Protein Shake.webp
Muscle Milk - Chocolate Protein Shake,-1,../../assets/images/items/Bowow-Builder-Images/Muscle Milk - Chocolate Protein Shake.webp
Starbucks - Mocha Frappuccino,4.75,../../assets/images/items/Bowow-Builder-Images/Starbucks - Mocha Frappuccino.webp
Starbucks - Coffee Frappuccino,4.75,../../assets/images/items/Bowow-Builder-Images/Starbucks - Coffee Frappuccino.webp
Starbucks - Vanilla Frappuccino,4.75,../../assets/images/items/Bowow-Builder-Images/Starbucks - Vanilla Frappuccino.webp
Starbucks - Vanilla Sweet Cream Nitro Cold Brew,5,../../assets/images/items/Bowow-Builder-Images/Starbucks - Vanilla Sweet Cream Nitro Cold Brew.webp
Gatorade - Zero Sugar Glacier Freeze?,3.5,../../assets/images/items/Bowow-Builder-Images/Gatorade - Zero Sugar Glacier Freeze?.webp
Gatorade - Ice Punch,3.5,../../assets/images/items/Bowow-Builder-Images/Gatorade - Ice Punch.webp
Gatorade - Cool Blue,3.5,../../assets/images/items/Bowow-Builder-Images/Gatorade - Cool Blue.webp
Gatorade - Berry,3.5,../../assets/images/items/Bowow-Builder-Images/Gatorade - Berry.webp
Gatorade - Lemon Lime,3.5,../../assets/images/items/Bowow-Builder-Images/Gatorade - Lemon Lime.webp
Gatorade - Orange,3.5,../../assets/images/items/Bowow-Builder-Images/Gatorade - Orange.webp
Gatorade - Gatorlyte Cherry Lime,4.5,../../assets/images/items/Bowow-Builder-Images/Gatorade - Gatorlyte Cherry Lime.webp
Gatorade - Gatorlyte Orange,4.5,../../assets/images/items/Bowow-Builder-Images/Gatorade - Gatorlyte Orange.webp
Life Wtr - Bottled Water,3.9,../../assets/images/items/Bowow-Builder-Images/Life Wtr - Bottled Water.webp
Bubly - Lime Bubly,2.25,../../assets/images/items/Bowow-Builder-Images/Bubly - Lime Bubly.webp
Bubly - Blackberry Bubly,2.25,../../assets/images/items/Bowow-Builder-Images/Bubly - Blackberry Bubly.webp
Bubly - Grapefruit/Peach Bubly,2.25,../../assets/images/items/Bowow-Builder-Images/Bubly - Grapefruit/Peach Bubly.webp
Pepsi - Orginal Pepsi,-1,../../assets/images/items/Bowow-Builder-Images/Pepsi - Orginal Pepsi.webp
Pepsi - Diet Pepsi,-1,../../assets/images/items/Bowow-Builder-Images/Pepsi - Diet Pepsi.webp
Schweppes - Gingerale,-1,../../assets/images/items/Bowow-Builder-Images/Schweppes - Gingerale.webp
Schweppes - Lemon Lime,-1,../../assets/images/items/Bowow-Builder-Images/Schweppes - Lemon Lime.webp
Dr Pepper - Original Dr Pepper,-1,../../assets/images/items/Bowow-Builder-Images/Dr Pepper - Original Dr Pepper.webp
Dr Pepper - Diet Dr Pepper,-1,../../assets/images/items/Bowow-Builder-Images/Dr Pepper - Diet Dr Pepper.webp
Living juice - Carrot Kick,-1,../../assets/images/items/Bowow-Builder-Images/Living juice - Carrot Kick.webp
Living juice - Pineapple Punch,-1,../../assets/images/items/Bowow-Builder-Images/Living juice - Pineapple Punch.webp
Living juice - Red Radiance,-1,../../assets/images/items/Bowow-Builder-Images/Living juice - Red Radiance.webp
Sol Ti Shot - Turmeric shot,4.25,../../assets/images/items/Bowow-Builder-Images/Sol Ti Shot - Turmeric shot.webp
Sol Ti Shot - Ginger shot,4.25,../../assets/images/items/Bowow-Builder-Images/Sol Ti Shot - Ginger shot.webp
Sol Ti Shot - Superboost,4.25,../../assets/images/items/Bowow-Builder-Images/Sol Ti Shot - Superboost.webp
Sol Ti Shot - Immuniti,4.25,../../assets/images/items/Bowow-Builder-Images/Sol Ti Shot - Immuniti.webp
Stumpton Coffee - Chocolate Cold Brew with OATLY,5,../../assets/images/items/Bowow-Builder-Images/Stumpton Coffee - Chocolate Cold Brew with OATLY.webp
Stumpton Coffee - Original Cold Brew with OATLY,5,../../assets/images/items/Bowow-Builder-Images/Stumpton Coffee - Original Cold Brew with OATLY.webp
Stumpton Coffee - Horchata Cold Brew with OATLY,5,../../assets/images/items/Bowow-Builder-Images/Stumpton Coffee - Horchata Cold Brew with OATLY.webp
Muscle Milk - Muscle Milk PRO - intense vanilla,7,../../assets/images/items/Bowow-Builder-Images/Muscle Milk - Muscle Milk PRO - intense vanilla.webp
Muscle Milk - Muscle Milk PRO - slammin' strawberry,7,../../assets/images/items/Bowow-Builder-Images/Muscle Milk - Muscle Milk PRO - slammin' strawberry.webp
Muscle Milk - Muscle Milk PRO - knockout chocolate,7,../../assets/images/items/Bowow-Builder-Images/Muscle Milk - Muscle Milk PRO - knockout chocolate.webp
Core Power - Fairlife - Strawberry Banana,3.1,../../assets/images/items/Bowow-Builder-Images/Core Power - Fairlife - Strawberry Banana.webp
Core Power - Fairlife - Chocolate,3.1,../../assets/images/items/Bowow-Builder-Images/Core Power - Fairlife - Chocolate.webp
Core Power - Fairlife - Ultra Filtered Milk,3.1,../../assets/images/items/Bowow-Builder-Images/Core Power - Fairlife - Ultra Filtered Milk.webp
Poppi - Orange,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Orange.webp
Poppi - Doc Pop,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Doc Pop.webp
Poppi - Strawberry Lemon,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Strawberry Lemon.webp
Poppi - Cherry Cola,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Cherry Cola.webp
Poppi - Lemon Lime,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Lemon Lime.webp
Poppi - Raspberry Rose,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Raspberry Rose.webp
Poppi - Ginger Lime,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Ginger Lime.webp
Poppi - Watermelon,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Watermelon.webp
Poppi - Root Beer,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Root Beer.webp
Poppi - Classic Cola,3.35,../../assets/images/items/Bowow-Builder-Images/Poppi - Classic Cola.webp
Olipop - Cherry Vanilla,3.5,../../assets/images/items/Bowow-Builder-Images/Olipop - Cherry Vanilla.webp
Sanzo Sparkling - Yuzu,3.25,../../assets/images/items/Bowow-Builder-Images/Sanzo Sparkling - Yuzu.webp
Sanzo Sparkling - Lychee,3.25,../../assets/images/items/Bowow-Builder-Images/Sanzo Sparkling - Lychee.webp
Sanzo Sparkling - Mango,3.25,../../assets/images/items/Bowow-Builder-Images/Sanzo Sparkling - Mango.webp
Boxed Water - Water,3,../../assets/images/items/Bowow-Builder-Images/Boxed Water - Water.webp
Tractor - Mango,3.5,../../assets/images/items/Bowow-Builder-Images/Tractor - Mango.webp
Tractor - Strawberry,3.5,../../assets/images/items/Bowow-Builder-Images/Tractor - Strawberry.webp
Tractor - Lemon,3.5,../../assets/images/items/Bowow-Builder-Images/Tractor - Lemon.webp
Tractor - Grape,3.5,../../assets/images/items/Bowow-Builder-Images/Tractor - Grape.webp
Just Ice Tea - Morrocan Mint,3.25,../../assets/images/items/Bowow-Builder-Images/Just Ice Tea - Morrocan Mint.webp
Just Ice Tea - HIbiscus,3.25,../../assets/images/items/Bowow-Builder-Images/Just Ice Tea - HIbiscus.webp
Just Ice Tea - Half Tea and Half Lemonade,3.25,../../assets/images/items/Bowow-Builder-Images/Just Ice Tea - Half Tea and Half Lemonade.webp
Just Ice Tea - Green Tea Honey,3.25,../../assets/images/items/Bowow-Builder-Images/Just Ice Tea - Green Tea Honey.webp
Health Ade Kombucha - Pomegranate-blueberry,5,../../assets/images/items/Bowow-Builder-Images/Health Ade Kombucha - Pomegranate-blueberry.webp
Health Ade Kombucha - Ginger lemon,5,../../assets/images/items/Bowow-Builder-Images/Health Ade Kombucha - Ginger lemon.webp
Wondermelon Juice - Watermelon cucumber basil,4.5,../../assets/images/items/Bowow-Builder-Images/Wondermelon Juice - Watermelon cucumber basil.webp
Copra - Young thai coconut vater,4.75,../../assets/images/items/Bowow-Builder-Images/Copra - Young thai coconut vater.webp
essential - bottled water,2.25,../../assets/images/items/Bowow-Builder-Images/essential - bottled water.webp
Red jacket - Fuji,3.5,../../assets/images/items/Bowow-Builder-Images/Red jacket - Fuji.webp
Red jacket - Ny Style lemonade,3.5,../../assets/images/items/Bowow-Builder-Images/Red jacket - Ny Style lemonade.webp
Poland Spring - Orange,2.2,../../assets/images/items/Bowow-Builder-Images/Poland Spring - Orange.webp
Poland Spring - Lime,2.2,../../assets/images/items/Bowow-Builder-Images/Poland Spring - Lime.webp
Poland Spring - Lemon,2.2,../../assets/images/items/Bowow-Builder-Images/Poland Spring - Lemon.webp
Poland Spring - Strawberry Lime,2.2,../../assets/images/items/Bowow-Builder-Images/Poland Spring - Strawberry Lime.webp
Moshi Sparkling - Red Shisho and Apple,3.5,../../assets/images/items/Bowow-Builder-Images/Moshi Sparkling - Red Shisho and Apple.webp
Moshi Sparkling - White Peach,3.5,../../assets/images/items/Bowow-Builder-Images/Moshi Sparkling - White Peach.webp
Natalie's - Natural Lemonade,4.5,../../assets/images/items/Bowow-Builder-Images/Natalie's - Natural Lemonade.webp
OWYN - Cookies & Creamless,5,../../assets/images/items/Bowow-Builder-Images/OWYN - Cookies & Creamless.webp
OWYN - Dark Chocolate,5,../../assets/images/items/Bowow-Builder-Images/OWYN - Dark Chocolate.webp
OWYN - Cold Brew Coffee,5,../../assets/images/items/Bowow-Builder-Images/OWYN - Cold Brew Coffee.webp
La Colombe - Draft Latte- Mocha,4.4,../../assets/images/items/Bowow-Builder-Images/La Colombe - Draft Latte- Mocha.webp
La Colombe - Draft Latte- Vanilla,4.4,../../assets/images/items/Bowow-Builder-Images/La Colombe - Draft Latte- Vanilla.webp
La Colombe - Draft Latte- Triple,4.4,../../assets/images/items/Bowow-Builder-Images/La Colombe - Draft Latte- Triple.webp
Noka Smoothie - Mango Coconut,3.9,../../assets/images/items/Bowow-Builder-Images/Noka Smoothie - Mango Coconut.webp
Noka Smoothie - Blueberry Beet,3.9,../../assets/images/items/Bowow-Builder-Images/Noka Smoothie - Blueberry Beet.webp
Orbit - Wrigley Orbit Gum,2.5,../../assets/images/items/Bowow-Builder-Images/Orbit - Wrigley Orbit Gum.webp
Tic Tac - Tic Tac- Winter Green,2.5,../../assets/images/items/Bowow-Builder-Images/Tic Tac - Tic Tac- Winter Green.webp
Honees - Honey Menthol Eucalyptes Drops,-1,../../assets/images/items/Bowow-Builder-Images/Honees - Honey Menthol Eucalyptes Drops.webp
Pur Gum - Peppermint,2.5,../../assets/images/items/Bowow-Builder-Images/Pur Gum - Peppermint.webp
Pur Gum - Spearmint,2.5,../../assets/images/items/Bowow-Builder-Images/Pur Gum - Spearmint.webp
m&ms - Peanut M&MS,2.5,../../assets/images/items/Bowow-Builder-Images/m&ms - Peanut M&MS.webp
m&ms - M&MS,2.5,../../assets/images/items/Bowow-Builder-Images/m&ms - M&MS.webp
Sanders - Sea Salt Caramel,3,../../assets/images/items/Bowow-Builder-Images/Sanders - Sea Salt Caramel.webp
Kitkat - KitKat,2.5,../../assets/images/items/Bowow-Builder-Images/Kitkat - KitKat.webp
Reese's - Peanut Butter Cups,2.5,../../assets/images/items/Bowow-Builder-Images/Reese's - Peanut Butter Cups.webp
Hershey's - Milk Chocolate,-1,../../assets/images/items/Bowow-Builder-Images/Hershey's - Milk Chocolate.webp
Loaker - Wafers- Classic,2,../../assets/images/items/Bowow-Builder-Images/Loaker - Wafers- Classic.webp
Yale - Commons To Go - Pasta Pulliese,12,../../assets/images/items/Bowow-Builder-Images/Yale - Commons To Go - Pasta Pulliese.webp
Yale - Commons To Go - Chicken Dumplings,12,../../assets/images/items/Bowow-Builder-Images/Yale - Commons To Go - Chicken Dumplings.webp
Yale - Commons To Go - Pork Dumplings,12,../../assets/images/items/Bowow-Builder-Images/Yale - Commons To Go - Pork Dumplings.webp
Kodiak - Flapjack Power Cup - Buttermilk & Maple,4,../../assets/images/items/Bowow-Builder-Images/Kodiak - Flapjack Power Cup - Buttermilk & Maple.webp
Kodiak - Flapjack Power Cup - Chocolate Chip & Maple,4,../../assets/images/items/Bowow-Builder-Images/Kodiak - Flapjack Power Cup - Chocolate Chip & Maple.webp
Bob's Red Mill - Gluten Free Oatmeal - Apple pieces and Cinnamon,3.9,../../assets/images/items/Bowow-Builder-Images/Bob's Red Mill - Gluten Free Oatmeal - Apple pieces and Cinnamon.webp
Bob's Red Mill - Gluten Free Oatmeal - Classic,3.9,../../assets/images/items/Bowow-Builder-Images/Bob's Red Mill - Gluten Free Oatmeal - Classic.webp
Bob's Red Mill - Gluten Free Oatmeal - Brown Sugar and Maple,3.9,../../assets/images/items/Bowow-Builder-Images/Bob's Red Mill - Gluten Free Oatmeal - Brown Sugar and Maple.webp
Catalina Crunch - Cereal - Cinnamon Toast,10.35,../../assets/images/items/Bowow-Builder-Images/Catalina Crunch - Cereal - Cinnamon Toast.webp
Catalina Crunch - Cereal - Dark Chocolate,10.35,../../assets/images/items/Bowow-Builder-Images/Catalina Crunch - Cereal - Dark Chocolate.webp
Cinnamon Toast Crunch - Cereal,2.4,../../assets/images/items/Bowow-Builder-Images/Cinnamon Toast Crunch - Cereal.webp
Cocoa Puffs - Cereal,2.4,../../assets/images/items/Bowow-Builder-Images/Cocoa Puffs - Cereal.webp
Lucky Charms - Cereal,2.4,../../assets/images/items/Bowow-Builder-Images/Lucky Charms - Cereal.webp
Cheerios - Cereal,2.4,../../assets/images/items/Bowow-Builder-Images/Cheerios - Cereal.webp
Cheerios - Multi Grain Cereal,2.4,../../assets/images/items/Bowow-Builder-Images/Cheerios - Multi Grain Cereal.webp
88 Acres - Bar - Dark Chocolate Sea Salt,3,../../assets/images/items/Bowow-Builder-Images/88 Acres - Bar - Dark Chocolate Sea Salt.webp
88 Acres - Bar - Blueberry Lemon,3,../../assets/images/items/Bowow-Builder-Images/88 Acres - Bar - Blueberry Lemon.webp
88 Acres - Bar - Oatmeal Chocolate Chip,3,../../assets/images/items/Bowow-Builder-Images/88 Acres - Bar - Oatmeal Chocolate Chip.webp
88 Acres - Bar - Cinnamon Maple,3,../../assets/images/items/Bowow-Builder-Images/88 Acres - Bar - Cinnamon Maple.webp
"Bob's Red Mill - Bob's Bar - Peanut Butter, Coconut & Oats",-1,"../../assets/images/items/Bowow-Builder-Images/Bob's Red Mill - Bob's Bar - Peanut Butter, Coconut & Oats.webp"
RXBAR - Chocolate Sea Salt,3.25,../../assets/images/items/Bowow-Builder-Images/RXBAR - Chocolate Sea Salt.webp
RXBAR - Peanut Butter Chocolate,3.25,../../assets/images/items/Bowow-Builder-Images/RXBAR - Peanut Butter Chocolate.webp
RXBAR - Nut Butter & Oat,3.25,../../assets/images/items/Bowow-Builder-Images/RXBAR - Nut Butter & Oat.webp
GoMacro - Bar - Peanut Butter,3.5,../../assets/images/items/Bowow-Builder-Images/GoMacro - Bar - Peanut Butter.webp
GoMacro - Bar - Dark Chocolate + Almond,3.5,../../assets/images/items/Bowow-Builder-Images/GoMacro - Bar - Dark Chocolate + Almond.webp
GoMacro - Bar - Maple Sea Salt,3.5,../../assets/images/items/Bowow-Builder-Images/GoMacro - Bar - Maple Sea Salt.webp
GoMacro - Bar - Banana + Almond Butter,3.5,../../assets/images/items/Bowow-Builder-Images/GoMacro - Bar - Banana + Almond Butter.webp
Kind - Bar - Dark Chocolate Nuts & Sea Salt,3,../../assets/images/items/Bowow-Builder-Images/Kind - Bar - Dark Chocolate Nuts & Sea Salt.webp
Kind - Bar - Caramel Almond & Sea Salt,3,../../assets/images/items/Bowow-Builder-Images/Kind - Bar - Caramel Almond & Sea Salt.webp
Kind - Bar - Dark Chocolate Cherry Cashew,3,../../assets/images/items/Bowow-Builder-Images/Kind - Bar - Dark Chocolate Cherry Cashew.webp
Kind - Bar - Almond & Choconut,3,../../assets/images/items/Bowow-Builder-Images/Kind - Bar - Almond & Choconut.webp
Clif - Bar - Chocolate Peanut Butter,3,../../assets/images/items/Bowow-Builder-Images/Clif - Bar - Chocolate Peanut Butter.webp
Clif - Bar - Blueberry Almond Crisp,3,../../assets/images/items/Bowow-Builder-Images/Clif - Bar - Blueberry Almond Crisp.webp
Clif - Bar - Crunchy Peanut Butter,3,../../assets/images/items/Bowow-Builder-Images/Clif - Bar - Crunchy Peanut Butter.webp
Clif - Bar - Chocolate Brownie,3,../../assets/images/items/Bowow-Builder-Images/Clif - Bar - Chocolate Brownie.webp
Nature's Bakery - Fig Bar - Raspberry,2.5,../../assets/images/items/Bowow-Builder-Images/Nature's Bakery - Fig Bar - Raspberry.webp
Nature's Bakery - Fig Bar - Original Fig,2.5,../../assets/images/items/Bowow-Builder-Images/Nature's Bakery - Fig Bar - Original Fig.webp
Nature's Bakery - Fig bar - Blueberry,2.5,../../assets/images/items/Bowow-Builder-Images/Nature's Bakery - Fig bar - Blueberry.webp
Santa Cruz - Apple Sauce,2.5,../../assets/images/items/Bowow-Builder-Images/Santa Cruz - Apple Sauce.webp
Good Culture - Low Fat Cottage Cheese- Blueberry,3.5,../../assets/images/items/Bowow-Builder-Images/Good Culture - Low Fat Cottage Cheese- Blueberry.webp
